name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Maryland,MD,,26023,,783,,708,,2,,30749,,,1001,,941,11,10/27/20,
Massachusetts,MA,,,,233,,,,,,,10765,,476,,,8,10/28/20,
Michigan,MI,,36490,,826,,508,,3,,39191,170860,,6617,,5205,74,10/27/20,
Minnesota,MN,,,,311,,,,0,,,52638,,1232,,,2,10/27/20,
Mississippi,MS,464,,,146,,,,,,2081,,,804,,,,10/27/20,
Missouri,MO,,,,1194,,816,,2,,,49259,,3272,,2246,5,10/27/20,
Montana,MT,195,,,3,,3,,0,,723,,,3,,3,0,6/30/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,,,,,,,,,
Nevada,NV,,,,159,,42,,2,,,,,41,,27,0,10/27/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,12,,12,,0,,124,,,1,,1,0,10/27/20,
New Jersey,NJ,,,,1059,,,,,,,,,3052,,,52,10/26/20,
New Mexico,NM,,,,193,,87,,0,,,18857,,735,,525,4,10/27/20,
New York,NY,,,,1479,,1358,,5,,25785,,,1566,,817,18,10/27/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1233,,1012,,2,,35036,53073,,4110,,3208,18,10/27/20,
North Dakota,ND,975,9408,,114,,82,,0,,2325,11338,,102,,24,0,10/27/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1447,,1304,,5,,37593,,,6834,,5357,107,10/27/20,
Oklahoma,OK,,2359,,398,,,,,,,19145,,4520,,,24,10/27/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,298,,280,,0,,,8472,,1244,,1120,16,10/27/20,
Pennsylvania,PA,,2670,,553,,330,,2,,,19978,,723,,408,14,10/27/20,
Rhode Island,RI,,,,104,,,,0,,,,,52,,,0,10/27/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,517,,485,,2,,7985,,,2334,,1950,31,10/27/20,
South Dakota,SD,255,,,94,,44,,0,,2784,,,1588,,402,0,10/27/20,
Tennessee,TN,,7453,,540,,442,,2,,,33215,,5686,,5588,27,10/27/20,
Texas,TX,,76599,,5438,,4753,,21,,,217018,,23362,,21133,163,10/27/20,"In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,76,,61,,0,,,2698,,347,,111,0,10/27/20,Staff deaths backfilled based on 11/10 data. The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,23,,23,,0,,2267,7418,,240,,238,0,10/27/20,
Virginia,VA,,,,867,,796,,1,,,45214,,3919,,3662,33,10/28/20,
Washington,WA,,,,196,,,,1,,5482,6110,,516,,493,2,10/27/20,
West Virginia,WV,,7090,,163,,159,,0,,,6824,,337,,320,2,10/27/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,886,,688,,0,,,52156,,3845,,2438,3,10/27/20,
Wyoming,WY,,,,69,,47,,0,,,,,125,,108,0,10/29/20,
Federal,US,,,,2198,,1323,,2,,68668,,,18166,,15968,137,10/27/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,439,,384,,2,,,3270,,459,,387,27,10/19/20,
Alaska,AK,,,,39,,,,0,,,7006,,159,,,0,10/20/20,
Arizona,AZ,,,,729,,712,,,,40756,,,2621,,2578,28,10/20/20,
Arkansas,AR,,,,,,,,2,,18035,,,7084,,6560,47,10/20/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,272,1119,86,456,0,2,6724,47477,,433,5372,678,2904,29,7/7/20,
Colorado,CO,,,,226,,,,0,,15268,43665,,1197,,895,3,10/20/20,
Connecticut,CT,,13159,,460,,413,,0,,,20117,,1669,,1547,7,10/20/20,
Delaware,DE,910,,19,114,2,87,0,1,,747,,120,270,1,141,7,7/8/20,Delaware's total cases this week originally did not include deaths and has been adjusted accordingly.
Florida,FL,,,,3377,,3031,,3,,,82806,,16599,,16210,161,10/21/20,
Georgia,GA,,,,968,,873,,2,,,,,1966,,1808,74,10/20/20,
Hawaii,HI,,,,120,,103,,0,,,4752,,430,,395,0,10/20/20,
Idaho,ID,2386,,,174,,149,,0,,8479,,,1994,,1481,3,10/20/20,
Illinois,IL,,,,1041,,889,,0,,12650,,,2110,,1781,27,10/20/20,
Indiana,IN,,2427,,490,,411,,2,,,7097,,1385,,1321,27,10/20/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,176,,159,,0,,,19241,,1238,,1205,4,10/20/20,
Kansas,KS,,,,333,,,,3,,,,,2828,,,5,10/20/20,
Kentucky,KY,,,,169,,,,1,,,,,938,,,13,10/20/20,
Louisiana,LA,2002,,,512,,481,,5,,6784,,,2405,,2324,29,10/20/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,3,,2,,0,,2259,,,4,,4,0,10/20/20,
Maryland,MD,,24453,,755,,690,,2,,28599,,,993,,882,11,10/20/20,
Massachusetts,MA,,,,228,,,,,,,10358,,472,,,8,10/22/20,
Michigan,MI,,29061,,724,,506,,3,,39090,139208,,6207,,5141,74,10/20/20,The number of prisoners tested and total number of tests for this week were incorrectly transcribed. They have been updated.
Minnesota,MN,,,,229,,,,0,,,49174,,886,,,2,10/20/20,
Mississippi,MS,464,,,146,,,,,,2064,,,797,,,,10/20/20,
Missouri,MO,,,,1086,,679,,1,,,48167,,3044,,2034,4,10/20/20,
Montana,MT,195,,,3,,3,,0,,723,,,3,,3,0,7/7/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,2096,3075,,260,,234,2,10/23/20,
Nevada,NV,,,,149,,39,,2,,,,,41,,27,0,10/20/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,12,,12,,0,,114,,,1,,1,0,10/20/20,
New Jersey,NJ,,61000,,1059,,,,,,,101446,,3050,,,52,10/20/20,
New Mexico,NM,,,,159,,83,,0,,,18546,,671,,521,4,10/20/20,
New York,NY,,,,1415,,1340,,5,,23545,,,977,,780,18,10/20/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1157,,958,,1,,34830,50696,,3798,,2967,18,10/20/20,
North Dakota,ND,972,8839,,94,,61,,0,,2314,10357,,79,,24,0,10/20/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1376,,1244,,5,,36219,,,6714,,5286,104,10/20/20,
Oklahoma,OK,,1770,,366,,,,,,,18332,,4223,,,21,10/20/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,291,,264,,0,,,8177,,1214,,1048,16,10/20/20,
Pennsylvania,PA,,2400,,459,,306,,2,,,19814,,649,,391,13,10/20/20,
Rhode Island,RI,,,,93,,,,0,,,,,43,,,0,10/20/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,507,,457,,2,,7889,,,2315,,1891,31,10/20/20,
South Dakota,SD,,198,,54,,40,,0,,,1017,,442,,247,0,10/20/20,
Tennessee,TN,,,,540,,442,,2,,,31129,,5613,,5328,27,10/20/20,
Texas,TX,,70939,,5198,,4627,,21,,,214466,,23283,,21021,157,10/20/20,"In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,,,,,0,,,,,,,,0,10/20/20,Deaths backfilled based on 11/10 data.
Vermont,VT,,,,22,,22,,0,,2231,7171,,240,,238,0,10/20/20,
Virginia,VA,,,,825,,777,,1,,,42748,,3856,,3657,33,10/21/20,
Washington,WA,,,,187,,,,1,,5208,5813,,499,,482,2,10/20/20,
West Virginia,WV,,6810,,158,,148,,0,,,6813,,336,,318,1,10/20/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,714,,579,,0,,,48361,,2973,,2031,3,10/20/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,2066,,1266,,2,,66060,,,17449,,15573,136,10/20/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,415,,369,,2,,3155,,,441,,382,26,10/14/20,
Alaska,AK,,,,,,,,0,,,6369,,83,,,0,10/12/20,
Arizona,AZ,,,,714,,704,,,,40460,,,2613,,2559,28,10/13/20,
Arkansas,AR,,,,,,,,2,,17825,,,6874,,6392,45,10/13/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,172,1291,80,536,1,3,4912,52389,,1086,6458,993,3897,35,7/14/20,
Colorado,CO,,,,179,,153,,0,,14332,38886,,972,,889,3,10/13/20,
Connecticut,CT,12448,,,440,,413,,0,,19407,,,1634,,1547,7,10/13/20,
Delaware,DE,,,4,118,0,87,0,1,,,,25,295,0,141,7,7/10/20,Delaware's total cases this week originally did not include deaths and has been adjusted accordingly.
Florida,FL,,,,3313,,2932,,,,,82631,,16483,,16075,154,10/14/20,
Georgia,GA,,,,940,,854,,2,,,,,1947,,1764,71,10/13/20,
Hawaii,HI,,,,120,,100,,,,,4592,,408,,382,0,10/13/20,
Idaho,ID,2071,,,153,,135,,0,,8478,,,1991,,1476,2,10/13/20,
Illinois,IL,,,,929,,819,,0,,11700,,,1989,,1647,25,10/13/20,
Indiana,IN,,2314,,466,,401,,2,,,6346,,1320,,1280,27,10/13/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,164,,141,,0,,,18066,,1215,,1153,4,10/13/20,
Kansas,KS,,,,,,,,,,,,,,,,,,
Kentucky,KY,,,,164,,153,,1,,,,,902,,887,13,10/13/20,
Louisiana,LA,1988,,,503,,475,,5,,6738,,,2399,,2317,29,10/13/20,
Maine,ME,,,,2,,2,,0,,2118,,,4,,4,0,10/13/20,
Maryland,MD,,22327,,732,,683,,2,,28038,,,967,,831,11,10/13/20,
Massachusetts,MA,,,,226,,,,,,,10212,,472,,,8,10/14/20,
Michigan,MI,,,,593,,460,,3,,38970,117252,,5738,,5116,74,10/13/20,
Minnesota,MN,,,,184,,,,0,,,46719,,733,,,2,10/13/20,
Mississippi,MS,464,,,146,,,,,,2054,,,796,,,,10/13/20,
Missouri,MO,,,,885,,562,,1,,,,,2641,,1549,2,10/13/20,
Montana,MT,458,,,3,,,,0,,1886,,,11,,,,7/14/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,,,,,,,,,
Nevada,NV,,,,146,,39,,2,,,,,39,,27,0,10/13/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,12,,,,,,103,,,1,,,,10/13/20,
New Jersey,NJ,,61000,,1033,,1003,,,,,99446,,3030,,,52,10/13/20,Testing figures are estimates from NJ DOC who said they've done more than this number of staff and prisoner tests.
New Mexico,NM,,,,130,,79,,0,,,17018,,567,,512,4,10/13/20,
New York,NY,,,,1367,,1314,,5,,20541,,,867,,761,17,10/13/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1096,,862,,1,,34571,48347,,3394,,2616,17,10/13/20,
North Dakota,ND,969,8244,,75,,54,,0,,2256,9037,,29,,24,0,10/14/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly. Testing data from 10/13/20"
Ohio,OH,,,,1315,,1169,,5,,34624,,,6584,,5088,102,10/13/20,
Oklahoma,OK,,,,360,,298,,3,,,17202,,3964,,3654,20,10/13/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,282,,251,,,,,7922,,1184,,993,14,10/14/20,
Pennsylvania,PA,,2098,,414,,279,,2,,,18390,,495,,372,11,10/13/20,
Rhode Island,RI,,,,86,,,,0,,,,,37,,,0,10/13/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,500,,445,,2,,7795,,,2280,,1791,31,10/13/20,
South Dakota,SD,,177,,44,,36,,0,,,768,,256,,225,0,10/13/20,
Tennessee,TN,,,,540,,442,,2,,,31129,,5586,,5328,25,10/15/20,
Texas,TX,,70663,,4988,,4068,,21,,,212234,,23137,,20738,157,10/13/20,"One prisoner who died was later recategorized in October by TDCJ as a death unrelated to COVID-19. In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,63,,28,,0,,,2592,,343,,66,0,10/14/20,
Vermont,VT,,,,22,,22,,0,,2195,6866,,240,,238,0,10/13/20,
Virginia,VA,,,,804,,759,,1,,,42318,,3719,,3564,33,10/13/20,
Washington,WA,,,,181,,,,1,,5204,5805,,492,,459,2,10/13/20,
West Virginia,WV,,6359,,151,,139,,0,,,6688,,327,,318,1,10/13/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,619,,474,,0,,,46114,,2542,,1450,3,10/13/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,1954,,1216,,2,,63111,,,16446,,14566,135,10/13/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,411,,364,,2,,2797,,,439,,381,25,10/5/20,
Alaska,AK,,,,34,,,,0,,,6133,,82,,,0,10/7/20,
Arizona,AZ,,,,710,,697,,,,40290,,,2599,,2557,28,10/6/20,
Arkansas,AR,,,,,,,,2,,17583,,,6606,,6093,45,10/6/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,195,1486,80,616,0,3,7419,59808,,608,7066,1043,4940,40,7/21/20,
Colorado,CO,,,,157,,147,,0,,13139,36687,,893,,889,3,10/6/20,
Connecticut,CT,,11403,,424,,402,,0,,,18348,,1558,,1547,7,10/6/20,
Delaware,DE,,,35,153,5,92,0,1,,,,213,508,250,391,7,7/22/20,
Florida,FL,,,,3241,,2826,,3,,,82570,,16428,,15910,141,10/7/20,
Georgia,GA,,,,921,,838,,2,,,,,1917,,1745,69,10/6/20,
Hawaii,HI,,,,117,,94,,,,,4396,,397,,340,0,10/6/20,
Idaho,ID,1832,,,142,,129,,0,,8333,,,1899,,1386,2,10/6/20,
Illinois,IL,,,,880,,762,,0,,,,,1846,,1427,,10/6/20,
Indiana,IN,,2159,,441,,383,,2,,,5804,,1289,,1218,27,10/6/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,158,,135,,0,,,15907,,1163,,1079,4,10/6/20,
Kansas,KS,,,,296,,,,3,,,,,2486,,,5,10/7/20,"The case numbers for this week initially included a juvenile facility, which has been removed."
Kentucky,KY,,,,158,,151,,1,,,,,900,,,13,10/6/20,
Louisiana,LA,1968,,,497,,466,,5,,6368,,,2394,,2270,29,10/6/20,
Maine,ME,,,,2,,2,,0,,2059,,,4,,4,0,10/6/20,
Maryland,MD,,20802,,720,,659,,2,,26361,,,923,,781,11,10/6/20,
Massachusetts,MA,,,,224,,,,,,,10100,,464,,,8,10/8/20,
Michigan,MI,,16500,,530,,446,,3,,38570,98184,,5572,,4822,73,10/6/20,
Minnesota,MN,,,,164,,,,0,,,43664,,605,,,2,10/5/20,
Mississippi,MS,459,,,146,,,,,,1799,,,712,,,,10/6/20,
Missouri,MO,,,,759,,510,,0,,27712,,,2385,,1487,2,10/5/20,
Montana,MT,458,,,5,,,,0,,1886,,,13,,,0,7/21/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,1905,2738,,242,,191,1,10/9/20,
Nevada,NV,,,,142,,39,,2,,,,,39,,27,0,10/6/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,11,,11,,0,,99,,,1,,1,0,10/6/20,
New Jersey,NJ,,,,1033,,,,,,,,,3030,,,52,10/6/20,
New Mexico,NM,,,,118,,77,,0,,,16850,,567,,512,4,10/6/20,
New York,NY,,,,1351,,,,5,,17665,,,791,,756,17,10/6/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1014,,733,,1,,34297,46947,,3271,,2414,16,10/6/20,
North Dakota,ND,960,7647,,53,,37,,0,,2210,8481,,24,,24,0,10/7/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly. Testing data is from 10/6/20."
Ohio,OH,,,,1251,,1144,,5,,33239,,,6499,,5003,100,10/6/20,
Oklahoma,OK,,,,321,,278,,3,,,16365,,3821,,3450,15,10/6/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,271,,245,,,,,,,1099,,902,12,10/6/20,
Pennsylvania,PA,,1995,,387,,257,,2,,,16954,,469,,285,11,10/6/20,
Rhode Island,RI,,,,82,,,,0,,,,,36,,,0,10/6/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,491,,430,,2,,,,,2203,,1600,31,10/6/20,
South Dakota,SD,,159,,35,,29,,0,,,752,,245,,180,0,10/6/20,
Tennessee,TN,,,,540,,442,,2,,,30414,,5555,,5306,22,10/7/20,
Texas,TX,,70425,,4892,,3973,,21,,,210411,,23065,,20673,157,10/6/20,"One prisoner who died was later recategorized in October by TDCJ as a death unrelated to COVID-19. In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,56,,28,,0,,,2260,,271,,66,0,10/7/20,Staff deaths backfilled based on 10/14 data.
Vermont,VT,,,,22,,22,,0,,2162,6676,,240,,238,0,10/6/20,
Virginia,VA,,,,792,,748,,1,,,42287,,3698,,3477,33,10/6/20,
Washington,WA,,,,181,,,,1,,4971,5551,,486,,455,2,10/6/20,
